customer_id,customer_name,customer_address,customer_city,customer_state,customer_zip_code,customer_contact_number,customer_email,ts
455cc1e6-70cd-4a6d-8764-81bfb1c71ae0,Julie Campbell,91824 Michelle Curve,West Jessicaburgh,Rhode Island,32382,+1-845-308-8885x8291,awatkins@example.org,1712991380.036747
e10dece1-6454-4f6a-829c-87c64f1c4952,Jesus Wood,408 Jose Street Apt. 668,Port Johnhaven,Wyoming,51554,987.849.4671,gmorton@example.net,1712991380.037254
099bcddd-e1eb-4975-9b1a-65032445ea3e,Tracy Murray,66403 Jackson Coves,Port Abigail,California,44130,+1-478-773-5371x514,lisabrown@example.org,1712991380.037813
510a92a6-3856-4aac-a8d9-d7ebe6f714fe,Brandy Houston MD,10160 Catherine Well Apt. 008,Reedtown,Alabama,48875,677.958.2600,kingtyler@example.net,1712991380.03829
bb95b612-5943-4a70-99fa-cdc191b40ca2,Savannah Estes,2125 William Ville Apt. 048,Jessicaport,Florida,26100,(436)222-0154,asmall@example.com,1712991380.038873
8c84b634-8cf4-43b4-9279-9cbaa578c706,Samuel Valentine,83184 Bryant Stravenue Suite 099,Jeffersonburgh,Missouri,72904,236-490-5120x76747,hgould@example.com,1712991380.039412
a4ecf2f0-53a2-4ed4-a7c0-eee7beaffb86,Brandon Lowery,225 Griffin Haven Suite 648,Dillonview,California,29840,319-216-9393,ucruz@example.org,1712991380.039882
fcf69236-f81b-4b78-bb02-a8b1bd4e3674,Sandra Mann,4592 Davis Dale,South Vanessamouth,Maine,33487,+1-268-689-4067x7706,dmcgee@example.net,1712991380.040344
ee5529ba-cb79-4e6c-be91-8c9f465084e4,Sara Ward,9878 Tyler Vista Apt. 336,Jeanetteland,Massachusetts,62248,5214210504,gonzalezjack@example.com,1712991380.040766
8378ab91-2725-4b8b-8adc-e28414109e03,Terry Singleton,152 Michael Street,West Tammyburgh,Utah,50054,(513)243-0754x134,bross@example.net,1712991380.041139
